timestamp,id_client,code,event,place
3.0378548000000003,15,Code02,finishprocess,S1M4
3.0378548000000003,24,Code02,startprocess,S1M4
3.0378548000000003,15,Code02,enterqueue,S5
3.0378548000000003,15,Code02,startprocess,S5M3
3.0378548000000003,39,Code02,systemarrival,System
3.0378548000000003,39,Code02,enterqueue,S1
3.3316480000000004,7,Code01,finishprocess,S2M1
3.3316480000000004,12,Code01,startprocess,S2M1
3.3316480000000004,7,Code01,enterqueue,S3
3.3316480000000004,7,Code01,startprocess,S3M2
3.331748,9,Code01,finishprocess,S2M2
3.331748,13,Code01,startprocess,S2M2
3.331748,9,Code01,enterqueue,S3
3.331748,30,Code01,systemarrival,System
3.331748,30,Code01,enterqueue,S2
3.332148,11,Code01,finishprocess,S2M3
3.332148,14,Code01,startprocess,S2M3
3.332148,11,Code01,enterqueue,S3
3.332148,35,Code01,systemarrival,System
3.332148,35,Code01,enterqueue,S2
4.0963206,73,Code05,finishprocess,S6M1
4.0963206,95,Code05,startprocess,S6M1
4.0963206,73,Code05,enterqueue,S8
4.0965206,83,Code05,finishprocess,S6M2
4.0965206,98,Code05,startprocess,S6M2
4.0965206,83,Code05,enterqueue,S8
4.103598,6,Code01,finishprocess,S3M1
4.103598,9,Code01,startprocess,S3M1
4.103598,6,Code01,enterqueue,S4
4.103598,6,Code01,startprocess,S4M1
4.351113,8,Code02,finishprocess,S5M1
4.351113,8,Code02,enterqueue,S2
4.351313,10,Code02,finishprocess,S5M2
4.351313,10,Code02,enterqueue,S2
4.351813,15,Code02,finishprocess,S5M3
4.351813,15,Code02,enterqueue,S2
4.4026119999999995,3,Code05,finishprocess,S8M1
4.4026119999999995,59,Code05,startprocess,S8M1
4.4026119999999995,3,Code05,enterqueue,S7
4.4026119999999995,3,Code05,startprocess,S7M1
4.402812,5,Code05,finishprocess,S8M2
4.402812,73,Code05,startprocess,S8M2
4.402812,5,Code05,enterqueue,S7
4.402812,5,Code05,startprocess,S7M2
4.550510000000001,7,Code01,finishprocess,S3M2
4.550510000000001,11,Code01,startprocess,S3M2
4.550510000000001,7,Code01,enterqueue,S4
4.997422,12,Code01,finishprocess,S2M1
4.997422,19,Code01,startprocess,S2M1
4.997422,12,Code01,enterqueue,S3
4.997522,13,Code01,finishprocess,S2M2
4.997522,22,Code04,startprocess,S2M2
4.997522,13,Code01,enterqueue,S3
4.997922,14,Code01,finishprocess,S2M3
4.997922,4,Code03,startprocess,S2M3
4.997922,14,Code01,enterqueue,S3
5.2467746,1,Code01,finishprocess,S4M2
5.2467746,7,Code01,startprocess,S4M2
5.2467746,1,Code01,enterqueue,S7
5.2467746,1,Code01,startprocess,S7M3
5.2468746,2,Code01,finishprocess,S4M3
5.2468746,2,Code01,enterqueue,S7
5.2468746,2,Code01,startprocess,S7M4
5.297544800000001,95,Code05,finishprocess,S6M1
5.297544800000001,101,Code05,startprocess,S6M1
5.297544800000001,95,Code05,enterqueue,S8
