client_code,station,waiting_time
Code03,S1,0.0
Code02,S1,0.0
Code02,S1,0.0
Code02,S1,0.0
Code02,S1,2.5812924
Code02,S1,3.0353548000000004
Code02,S1,3.0353548000000004
Code02,S1,3.0354548
Code03,S1,5.6168472
Code02,S1,3.4905172
Code03,S1,3.0365548000000007
Code03,S1,3.0368548000000004
Code02,S1,5.1640847999999995
Code02,S1,3.0369548
Code02,S1,2.5832924000000004
Code03,S1,3.0361548000000003
Code02,S1,5.164084799999999
Code03,S1,3.490517200000003
Code03,S1,3.0363548
Code02,S1,3.0363548
Code03,S1,5.164784799999998
Code02,S1,3.0367548000000024
Code08,S1,2.582792399999999
Code02,S1,2.925439400000002
Code02,S1,3.0363548
Code02,S1,2.5825923999999993
Code03,S1,3.0363548000000016
Code03,S1,3.3792018000000006
Code02,S1,3.1477701999999983
Code02,S1,5.1640847999999995
Code02,S1,3.036754800000004
Code02,S1,2.925639399999998
Code02,S1,3.1477702
Code02,S1,5.164084800000001
Code02,S1,3.036754800000004
Code02,S1,3.3794018
Code02,S1,3.6015326000000023
Code03,S1,5.164084800000001
Code02,S1,3.036754800000004
Code03,S1,3.3794018
Code03,S1,3.6015326000000023
Code02,S1,4.710322399999999
Code02,S1,2.9260394000000005
Code08,S1,3.0363548000000016
Code03,S1,3.036154800000002
Code02,S1,2.5825923999999993
Code02,S1,3.0363548000000016
Code02,S1,3.036154800000002
Code02,S1,2.925639399999998
Code03,S1,3.147970199999996
Code02,S1,5.164084799999998
Code02,S1,3.379601800000003
Code02,S1,3.036554800000001
Code03,S1,3.1477702
Code02,S1,5.164084799999998
Code02,S1,3.037454800000006
Code02,S1,3.036354799999998
Code03,S1,3.036354799999998
Code02,S1,5.507531800000002
Code02,S1,3.036354799999998
Code07,S1,3.036354799999998
Code02,S1,3.036354799999998
Code02,S1,3.8613795999999994
Code03,S1,3.036354799999998
Code02,S1,3.036354799999998
Code08,S1,3.378501799999995
Code02,S1,3.379201799999997
Code07,S1,3.036354799999998
Code02,S1,2.4461589999999944
Code02,S1,2.4722770000000125
Code02,S1,2.693107799999993
Code02,S1,3.036354799999998
Code07,S1,4.203726599999996
Code02,S1,3.1727882000000065
Code02,S1,3.6004325999999836
Code02,S1,3.503215400000002
Code08,S1,3.036354799999998
Code02,S1,1.7294521999999972
Code03,S1,3.036354799999998
Code03,S1,3.036354799999998
Code02,S1,3.036354799999998
Code03,S1,3.379201799999997
Code02,S1,4.025928400000012
Code02,S1,3.1466701999999884
Code02,S1,3.503215400000002
Code02,S1,3.144672800000002
Code03,S1,4.025928400000012
Code03,S1,3.6004325999999836
Code02,S1,3.956977799999997
Code02,S1,3.144672800000002
Code02,S1,4.025928400000012
Code02,S1,3.1466701999999884
Code02,S1,3.956977799999997
Code02,S1,3.144672800000002
Code02,S1,4.025928400000012
Code08,S1,3.6004325999999907
Code02,S1,3.3792018000000112
Code02,S1,3.036354800000005
Code02,S1,3.036354799999998
Code02,S1,3.036354799999998
Code02,S1,3.379201800000004
Code02,S1,4.067893199999986
Code02,S1,3.144672799999995
Code03,S1,4.025928400000012
Code01,S2,0.0
Code01,S2,0.0
Code01,S2,0.0
Code01,S2,1.6651740000000002
Code01,S2,1.6650740000000002
Code01,S2,1.665274
Code01,S2,3.3304480000000005
Code01,S2,3.330448
Code01,S2,1.666274
Code01,S2,3.331448
Code04,S2,3.3311479999999998
Code03,S2,2.4149296
Code01,S2,2.260651
Code01,S2,2.7332434
Code02,S2,2.3120830000000003
Code02,S2,2.90686
Code02,S2,3.3793524
Code01,S2,2.5914946000000008
Code01,S2,2.713479200000001
Code10,S2,2.588667
Code02,S2,2.916362200000002
Code02,S2,3.0571768000000015
Code02,S2,3.2655899999999995
Code03,S2,3.1684256000000026
Code02,S2,3.7175786000000013
Code03,S2,3.309040200000002
Code03,S2,3.5171533999999998
Code02,S2,2.1359966000000004
Code01,S2,1.398067199999998
Code03,S2,1.7930829999999993
Code01,S2,2.114674599999999
Code01,S2,1.906561400000001
Code02,S2,1.8819538000000016
Code01,S2,2.9773584000000017
Code02,S2,2.7396758000000023
Code02,S2,2.947789
Code04,S2,3.186471600000001
Code03,S2,3.136515599999999
Code03,S2,3.2003524
Code08,S2,3.2846566
