timestamp,station,queue_length
0.0,S1,0
0.0004,S1,1
0.0004,S1,0
0.0008,S1,1
0.0008,S1,0
0.001,S1,1
0.001,S1,0
0.0015,S1,1
0.0015,S1,0
0.0017000000000000001,S1,1
0.0018000000000000002,S1,2
0.002,S1,3
0.0024000000000000002,S1,4
0.0025,S1,5
2.5829924,S1,4
2.5829924,S1,5
3.0371548,S1,4
3.0371548,S1,5
3.0373548,S1,4
3.0373548,S1,5
3.0378548000000003,S1,4
3.0378548000000003,S1,5
5.6193472,S1,4
5.6193472,S1,5
6.0735096,S1,4
6.0735096,S1,5
6.073709600000001,S1,4
6.073709600000001,S1,5
6.0742096000000005,S1,4
6.0742096000000005,S1,5
8.2019396,S1,4
8.2019396,S1,5
8.656302,S1,4
8.656302,S1,5
8.656802,S1,4
8.656802,S1,5
9.109864400000001,S1,4
9.109864400000001,S1,5
11.2382944,S1,4
11.2382944,S1,5
11.692456800000002,S1,4
11.692456800000002,S1,5
11.6926568,S1,4
11.6926568,S1,5
11.6931568,S1,4
11.6931568,S1,5
14.274649199999999,S1,4
14.274649199999999,S1,5
14.275049200000002,S1,4
14.275049200000002,S1,5
14.275249200000001,S1,4
14.275249200000001,S1,5
14.618096200000002,S1,4
14.618096200000002,S1,5
14.7295116,S1,4
14.7295116,S1,5
16.8572416,S1,4
16.8572416,S1,5
17.311404000000003,S1,4
17.311404000000003,S1,5
17.654451,S1,4
17.654451,S1,5
17.7658664,S1,4
17.7658664,S1,5
19.8935964,S1,4
19.8935964,S1,5
19.893996400000002,S1,4
19.893996400000002,S1,5
20.2370434,S1,4
20.2370434,S1,5
20.8022212,S1,4
20.8022212,S1,5
22.9299512,S1,4
22.9299512,S1,5
22.930351200000004,S1,4
22.930351200000004,S1,5
23.273398200000003,S1,4
23.273398200000003,S1,5
23.838576000000003,S1,4
23.838576000000003,S1,5
25.966306000000003,S1,4
25.966306000000003,S1,5
25.966706000000006,S1,4
25.966706000000006,S1,5
26.309753000000004,S1,4
26.309753000000004,S1,5
26.874930800000005,S1,4
26.874930800000005,S1,5
28.548898400000002,S1,4
28.548898400000002,S1,5
28.892345400000004,S1,4
28.892345400000004,S1,5
29.003060800000007,S1,4
29.003060800000007,S1,5
29.345907800000006,S1,4
29.345907800000006,S1,5
29.457523200000004,S1,4
29.457523200000004,S1,5
31.585253200000004,S1,4
31.585253200000004,S1,5
31.928500200000006,S1,4
31.928500200000006,S1,5
31.928700200000005,S1,4
31.928700200000005,S1,5
32.493878,S1,4
32.493878,S1,5
34.621608,S1,4
34.621608,S1,5
34.96485500000001,S1,4
34.96485500000001,S1,5
34.96505500000001,S1,4
34.96505500000001,S1,5
35.076470400000005,S1,4
35.076470400000005,S1,5
37.6579628,S1,4
37.6579628,S1,5
