client_code,machine,waiting_time
B,M1,0.0
B,M1,0.0
B,M1,0.0235337604562198
B,M1,0.0
B,M1,0.0
B,M1,0.0
A,M1,0.7197969312724526
A,M1,0.0
B,M1,0.0
B,M1,0.0
B,M1,0.7787378438000001
B,M1,0.9541055669748371
B,M1,0.8794444821735272
B,M1,1.3513651272666625
B,M1,1.2063084703379605
B,M1,0.9499801427301477
B,M1,1.6317487562371333
B,M1,2.152523448515039
A,M1,1.4139217465450216
B,M1,1.290931759194498
A,M1,1.0024099567120555
A,M1,0.9569871019953791
B,M1,1.4680256827322165
B,M1,1.5537648505567336
B,M1,0.4712712720336043
B,M1,0.0
A,M1,0.06804116389087866
B,M1,0.0
B,M1,0.0
B,M1,0.0
B,M2,0.0
B,M2,0.0
B,M2,0.0
B,M2,0.09926111185495645
B,M2,0.6018843707501916
B,M2,0.3669745216659055
B,M2,0.7406154908169175
B,M2,0.7345409004549086
B,M2,0.6981193695328076
B,M2,2.180292367938476
B,M2,2.1462076695619023
A,M2,3.2398299303317226
B,M2,3.3766916558779374
A,M2,3.3443382091448037
B,M2,3.9964960154317026
B,M2,4.1488136026334494
B,M2,4.117144970742153
B,M2,4.420669530187668
B,M2,4.091480151172659
B,M2,4.93872602713665
B,M2,5.585873752763999
B,M2,5.03020838193507
B,M2,5.427345539687068
B,M2,5.382496771722548
B,M2,5.107539182575298
B,M2,7.642578572148432
A,M2,6.263021209740924
A,M2,6.223332204762098
A,M2,5.506596915672733
A,M2,3.739944449593457
A,M3,0.0
A,M3,1.1935150336245428
B,M3,0.9671536111084826
B,M3,0.9315539412624416
B,M3,1.308795950712199
B,M3,1.0508960881305422
B,M3,2.074860473128533
B,M3,2.275087626415464
A,M3,2.4804262300748188
A,M3,2.975766808583121
A,M3,2.614357658839263
B,M3,3.4587250468710558
B,M3,4.772917325778636
A,M3,4.244092747729482
B,M3,4.4691743694461055
B,M3,4.929511781610047
B,M3,4.588095870381698
B,M3,4.943564601437648
B,M3,4.481030363124433
B,M3,4.0329526368343185
B,M3,3.6728596937314215
B,M3,3.0012133414546085
B,M3,2.750000597045002
B,M3,3.6641753836123563
B,M3,5.111320556149677
B,M3,5.209780176433663
B,M3,3.8505036229933953
B,M3,4.853390882792688
B,M3,5.921507360148627
B,M3,7.168758426266859
