timestamp,units_in_system
0.0,0
0.05521186361820806,1
0.11168462837156243,2
0.1608517956125819,3
0.21822939864554733,4
0.3038852771305311,5
0.4966448512107531,6
0.5680077929824879,7
0.8123066645064896,8
0.8579469641806033,9
0.9471472882498067,10
1.1814811318199654,11
1.3258518907286245,12
1.362276882874403,13
1.4878096735369417,14
1.6387894773517822,15
1.8197262521442368,16
1.996171298662397,17
2.075339510557178,18
2.1901001814165975,17
2.218923494377767,18
2.672992303584283,17
2.6791655088624022,16
2.862455803261183,17
3.028197648829476,18
3.1769777571422884,19
3.204426749223882,20
3.3310113694148358,21
3.7813849815889777,20
4.014435952322646,21
4.023544975836663,22
4.104207068707313,23
4.402791574528866,24
4.402966169450595,23
4.436914163347073,24
4.455979448937057,25
5.584298260687332,24
5.896270990615372,23
6.989545354259008,22
8.635846463247992,21
10.615647408729043,20
11.17748693014002,19
11.791548938388862,18
12.328404531135941,17
12.358938907174414,16
12.738543620740508,15
13.423262599679623,14
13.947168379817757,13
14.274614928186397,12
14.405997658330586,11
14.7793839261089,10
15.214341738351008,9
16.066050079311754,8
16.27387578409456,7
16.401267630522504,6
16.55634543763097,5
17.131065789480395,4
17.19825228208477,3
18.860561423779252,2
19.654921554219353,1
21.077967922835345,0
