client_code,makespan
A,5.841059126997164
A,6.77131595561346
A,12.187074163952818
A,11.883330368936171
A,13.203594276050572
A,12.742272833147712
B,2.0784155530450352
B,2.3691070264537517
B,2.182520657651649
B,3.620533185976396
B,3.5450192052699916
B,4.771991596180842
B,7.6886991749981854
B,9.289795518000417
B,10.609479137157532
B,10.30373926485192
B,10.966127648261539
B,11.177457775354448
B,11.099754143388726
B,11.427091301017226
B,11.871828869260579
B,11.24641727935692
B,12.959657673964664
B,13.096898026952271
B,13.196840881298623
B,12.532800461794306
B,13.116629837157749
B,14.457769849250386
B,15.21800739087228
B,16.97376085412803
