station,queue_length
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,0
station1,1
station1,2
station1,3
station1,4
station1,5
station1,6
station1,7
station1,8
station1,9
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station2,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,0
station3,1
station3,1
station3,1
station3,1
station3,1
station3,1
station3,2
station3,2
station3,2
station3,2
station3,2
station3,2
station3,3
station3,3
station3,3
station3,3
station3,3
station3,3
station3,3
station3,3
station3,4
station3,4
station3,4
station3,4
station3,4
station3,4
station3,5
station3,5
station3,5
station3,5
station3,5
station3,5
station3,6
station3,6
station3,6
station3,6
station3,6
station3,6
station3,6
station3,6
station3,7
station3,7
station3,7
station3,7
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station4,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,0
station5,1
station5,1
station5,1
station5,1
station5,1
station5,1
station5,1
station5,1
station5,1
station5,1
station5,1
station5,1
station5,1
station5,1
station5,1
station5,1
station5,1
station5,1
station5,1
station5,1
station5,1
station5,1
station5,2
station5,2
station5,2
station5,2
station5,2
station5,2
station5,2
station5,2
station5,2
station5,2
station5,2
station5,2
station5,2
station5,2
station5,2
station5,2
station5,2
station5,2
station5,2
station5,2
station5,2
station5,2
station5,3
station5,3
station5,3
station5,3
station5,3
station5,3
station5,3
station5,3
station5,3
station5,3
station5,3
station5,3
station5,3
station5,3
station5,3
